acct_ref,cust_ref,has_dependents,tenure_mo,home_phone,multi_line,internet_plan,add_on_security,add_on_backup,add_on_protection,tech_support_std,stream_tv,stream_movies,contract_term,e_bill_opt_in,pay_method,monthly_fee,total_billed,left_flag,fiscal_qtr,gender,age_years,is_married,dependents_count,referred_friend,referrals_count,recent_offer,avg_long_dist_fee,internet_tech,avg_gb_download,premium_support,stream_music,unlimited_data_opt,refunds_total,extra_data_fees_total,long_dist_fees_total
ACCT658342,CUST25251810,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,62,No,Q3,Male,50,No,0,No,0,Offer E,40.25,NA,0,No,No,No,0,0,80.5
ACCT208198,CUST36674957,No,5,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.35,352.65,No,Q3,Female,63,No,0,No,0,Offer E,8.32,DSL,22,Yes,No,Yes,0,0,41.6
ACCT206779,CUST21477772,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,No,Q3,Female,32,No,0,No,0,NA,48.41,NA,0,No,No,No,0,0,3291.88
ACCT565723,CUST20744166,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,50.8,Yes,Q3,Male,58,No,0,No,0,Offer E,1.28,DSL,27,No,No,Yes,0,0,1.28
ACCT745412,CUST73689320,No,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89,5898.6,No,Q3,Female,59,Yes,0,Yes,10,NA,37.38,Fiber Optic,8,Yes,No,Yes,0,0,2467.08
ACCT349575,CUST66302709,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75,No,Q3,Male,52,Yes,0,Yes,9,NA,0,DSL,18,Yes,Yes,Yes,0,0,0
ACCT914830,CUST88536826,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,457.3,No,Q3,Male,63,No,0,No,0,Offer C,45.7,NA,0,No,No,No,0,0,1188.2
ACCT156748,CUST78953157,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),93.4,5822.3,No,Q3,Male,53,Yes,1,Yes,2,NA,30.82,Fiber Optic,11,No,Yes,Yes,0,0,1972.48
ACCT895861,CUST78339055,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,Yes,Q3,Male,71,Yes,0,Yes,1,NA,5.37,Fiber Optic,24,No,No,Yes,0,0,107.4
ACCT166840,CUST85095245,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes,Q3,Female,55,No,0,No,0,Offer E,47.62,Cable,29,No,Yes,Yes,0,0,142.86
ACCT852516,CUST44282231,No,62,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39,2337.45,No,Q3,Male,61,Yes,0,Yes,6,NA,0,Cable,4,Yes,No,Yes,0,0,0
ACCT101953,CUST68278613,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,104.3,No,Q3,Female,44,No,0,No,0,NA,24.61,NA,0,No,No,No,0,0,123.05
ACCT438454,CUST80119287,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,5084.65,Yes,Q3,Male,24,Yes,0,No,0,Offer B,6.91,Fiber Optic,52,No,Yes,Yes,0,0,407.69
ACCT695704,CUST54156554,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,121.25,No,Q3,Male,44,No,1,No,0,NA,33.87,NA,0,No,No,No,0,0,101.61
ACCT366718,CUST94694820,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.2,7015.9,No,Q3,Female,32,Yes,0,Yes,1,NA,25.48,Fiber Optic,3,Yes,No,Yes,0,0,1834.56
ACCT729261,CUST18194853,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.55,5598,No,Q3,Male,26,Yes,3,Yes,1,NA,4.18,Fiber Optic,73,No,Yes,Yes,0,0,238.26
ACCT285529,CUST64855275,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,1269.1,No,Q3,Male,63,No,1,No,0,NA,37.94,NA,0,No,No,No,0,0,2504.04
ACCT927123,CUST86303008,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.8,3027.4,Yes,Q3,Female,58,No,0,No,0,Offer B,0,Cable,5,No,Yes,Yes,0,0,0
ACCT800589,CUST33806289,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.7,4634.35,No,Q3,Male,33,No,2,No,0,NA,23.54,Fiber Optic,12,No,Yes,Yes,0,0,1059.3
ACCT588269,CUST22015569,No,3,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95,No,Q3,Female,25,No,0,No,0,NA,0,DSL,46,No,No,Yes,0,0,0
ACCT785992,CUST56933223,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Yes,Q3,Female,54,No,0,No,0,NA,22.39,Fiber Optic,7,Yes,Yes,Yes,0,0,335.85
ACCT722841,CUST62747649,Yes,51,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),60.15,3077,No,Q3,Female,48,No,0,No,0,NA,0,DSL,10,Yes,Yes,Yes,0,0,0
ACCT173064,CUST34277603,No,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,No,Q3,Male,62,No,0,No,0,Offer C,5.91,DSL,5,No,No,Yes,0,0,195.03
ACCT971424,CUST51487063,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,Q3,Male,53,No,0,No,0,NA,18.03,Fiber Optic,6,Yes,Yes,Yes,0,0,180.3
ACCT463113,CUST70279370,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,504.2,No,Q3,Male,65,No,0,No,0,Offer C,29.88,NA,0,No,No,No,9.49,0,776.88
ACCT364469,CUST89858035,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,Yes,Q3,Female,40,No,0,No,0,NA,25.93,Fiber Optic,24,No,Yes,Yes,0,0,155.58
ACCT261703,CUST17902009,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.25,7511.65,No,Q3,Female,39,Yes,0,Yes,1,NA,35.03,Fiber Optic,23,Yes,Yes,Yes,0,0,2347.01
ACCT577788,CUST25351712,Yes,49,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.8,1782,No,Q3,Female,19,Yes,0,Yes,1,NA,0,Cable,82,Yes,No,Yes,0,0,0
ACCT502107,CUST50582925,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.35,609.65,No,Q3,Female,66,No,0,No,0,Offer E,26.29,Fiber Optic,20,No,No,No,29.17,10,184.03
ACCT167184,CUST46965510,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.5,2857.6,No,Q3,Female,70,No,0,No,0,Offer C,35.76,Fiber Optic,4,No,No,Yes,0,0,965.52
ACCT855277,CUST82108713,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,No,Q3,Male,23,Yes,3,Yes,1,Offer C,43.01,Fiber Optic,51,No,Yes,Yes,0,0,1591.37
ACCT314640,CUST36120715,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.55,6215.35,Yes,Q3,Female,48,Yes,0,Yes,3,Offer B,8.98,Fiber Optic,16,No,No,No,0,0,565.74
ACCT955394,CUST42282008,Yes,31,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.3,2823,No,Q3,Male,37,Yes,3,Yes,1,Offer C,20.76,Fiber Optic,57,Yes,No,Yes,0,0,643.56
ACCT705941,CUST49343635,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,Yes,Q3,Male,55,Yes,0,Yes,6,Offer B,42.21,Fiber Optic,14,No,Yes,Yes,0,0,2110.5
ACCT339150,CUST59654160,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.1,2619.25,No,Q3,Male,77,No,0,No,0,Offer C,1.12,Fiber Optic,5,No,No,Yes,19.25,0,35.84
ACCT208167,CUST97043596,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.6,24.6,Yes,Q3,Female,39,No,0,No,0,NA,0,DSL,12,No,No,Yes,0,0,0
ACCT853335,CUST63509911,No,63,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),81.2,4965.1,No,Q3,Female,56,Yes,0,Yes,1,Offer B,38.85,Fiber Optic,27,Yes,No,Yes,0,0,2447.55
ACCT725350,CUST34528353,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,No,Q3,Male,53,No,0,No,0,Offer C,41.66,Fiber Optic,28,No,Yes,Yes,0,0,1249.8
ACCT564125,CUST91150343,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,105.55,5682.25,No,Q3,Female,33,No,0,No,0,Offer B,12.92,Fiber Optic,19,No,Yes,Yes,0,0,684.76
ACCT204592,CUST56116066,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes,Q3,Female,64,No,0,No,0,NA,34.92,Cable,23,Yes,Yes,Yes,0,0,419.04
ACCT595155,CUST38140885,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,27.55,No,Q3,Female,19,No,0,No,0,NA,27.17,NA,0,No,No,No,0,0,54.34
ACCT906847,CUST54442863,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.3,923.5,Yes,Q3,Female,27,No,0,No,0,NA,38.76,Fiber Optic,82,No,Yes,Yes,0,0,348.84
ACCT104732,CUST56269485,No,17,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.85,1625.65,Yes,Q3,Male,36,No,0,No,0,NA,4.51,Fiber Optic,13,No,Yes,Yes,0,0,76.67
ACCT422103,CUST27476307,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes,Q3,Male,65,No,0,No,0,NA,48.71,Fiber Optic,15,No,Yes,Yes,0,0,438.39
ACCT903639,CUST26231982,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.4,234.85,No,Q3,Male,38,No,0,No,0,NA,20.76,DSL,30,No,No,Yes,0,0,83.04
ACCT740229,CUST23119855,No,19,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.35,1231.85,No,Q3,Male,61,No,0,No,0,NA,41.79,DSL,6,Yes,Yes,No,0,60,794.01
ACCT126658,CUST83471764,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,170.9,No,Q3,Female,26,No,3,No,0,NA,45.87,NA,0,No,No,No,0,0,366.96
ACCT803594,CUST59909842,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.25,7984.15,No,Q3,Female,29,No,0,No,0,NA,41.92,Fiber Optic,53,Yes,Yes,Yes,0,0,2976.32
ACCT469108,CUST32456571,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,72.85,688.65,Yes,Q3,Male,69,No,0,No,0,NA,5.46,Fiber Optic,24,No,No,No,0,30,54.6
ACCT114504,CUST41923109,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89,1288.3,No,Q3,Female,72,No,0,No,0,NA,1.67,Fiber Optic,21,No,No,Yes,45.69,0,25.05
ACCT267513,CUST55617172,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.2,1798.9,No,Q3,Male,22,Yes,2,Yes,1,NA,28.06,NA,0,No,No,No,0,0,2020.32
ACCT736872,CUST99562718,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.7,2193,No,Q3,Female,37,No,0,No,0,Offer C,20.64,Fiber Optic,22,No,No,Yes,0,0,536.64
ACCT174777,CUST51376243,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,104.55,2239.4,No,Q3,Female,48,No,0,No,0,NA,36.31,Fiber Optic,27,Yes,Yes,Yes,0,0,762.51
ACCT322231,CUST33469446,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,255.35,No,Q3,Male,26,No,0,No,0,NA,41.11,NA,0,No,No,No,0,0,493.32
ACCT244845,CUST89696057,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,1189.4,No,Q3,Male,25,Yes,0,Yes,1,NA,25.83,Fiber Optic,46,No,No,Yes,0,0,413.28
ACCT479813,CUST56503195,Yes,32,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),76.3,2404.15,No,Q3,Female,54,Yes,1,Yes,1,Offer C,32.43,Cable,19,Yes,Yes,Yes,0,0,1037.76
ACCT744737,CUST20570598,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,205.05,Yes,Q3,Female,75,No,0,No,0,NA,41.9,Fiber Optic,11,No,No,Yes,0,0,125.7
ACCT656785,CUST21392513,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.15,952.3,Yes,Q3,Female,37,No,0,No,0,NA,3.84,Fiber Optic,4,No,No,Yes,0,0,49.92
ACCT206735,CUST85030936,Yes,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.75,7039.45,No,Q3,Female,32,Yes,3,Yes,6,NA,16.09,Fiber Optic,53,Yes,Yes,Yes,0,0,1094.12
ACCT472162,CUST16890484,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,86.45,2538.05,No,Q3,Female,53,Yes,3,No,0,Offer C,48.43,Fiber Optic,58,No,Yes,Yes,0,0,1452.9
ACCT923169,CUST68014678,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.1,1212.85,No,Q3,Female,44,No,0,No,0,NA,38.02,Fiber Optic,25,No,No,Yes,0,0,608.32
ACCT949451,CUST11986703,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),80.6,2651.1,No,Q3,Male,32,No,0,No,0,Offer C,34.85,Fiber Optic,27,Yes,No,Yes,0,0,1150.05
ACCT649856,CUST86278643,No,12,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,33.6,435.45,No,Q3,Female,58,No,0,No,0,NA,0,DSL,19,Yes,No,Yes,0,0,0
ACCT514810,CUST87915772,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,No,Q3,Female,73,Yes,0,Yes,10,NA,14.34,Fiber Optic,14,No,No,Yes,39.93,0,57.36
ACCT811938,CUST24335222,Yes,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,80.85,NA,No,Q3,Female,40,Yes,0,Yes,8,NA,31.09,DSL,5,No,Yes,Yes,0,0,310.9
ACCT569761,CUST21943708,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,Yes,Q3,Female,51,No,0,No,0,NA,19.74,Fiber Optic,27,No,No,Yes,0,0,118.44
ACCT868224,CUST96588361,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),108.05,7118.9,No,Q3,Female,32,Yes,0,Yes,6,Offer B,41.34,Fiber Optic,15,Yes,Yes,Yes,0,0,2687.1
ACCT386651,CUST55103244,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,320.45,No,Q3,Female,46,No,0,No,0,NA,2.74,NA,0,No,No,No,0,0,41.1
ACCT560425,CUST93590386,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.05,531.55,No,Q3,Female,55,No,0,No,0,NA,47.31,NA,0,No,No,No,0,0,1135.44
ACCT862532,CUST20521759,Yes,13,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.15,382.2,No,Q3,Female,50,No,2,No,0,NA,0,Cable,19,No,No,No,0,10,0
ACCT910090,CUST89091456,No,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.85,2001,No,Q3,Male,23,No,0,No,0,NA,35.3,Fiber Optic,41,No,Yes,Yes,0,0,847.2
ACCT358184,CUST60546635,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Yes,Q3,Female,32,No,0,No,0,NA,23.82,Fiber Optic,24,No,No,Yes,0,0,71.46
ACCT541349,CUST28207034,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,77.6,No,Q3,Male,39,Yes,2,Yes,4,NA,3.63,NA,0,No,No,No,0,0,14.52
ACCT782953,CUST10391792,Yes,32,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.35,2896.55,No,Q3,Female,66,Yes,1,Yes,9,Offer C,5.73,Fiber Optic,30,No,No,Yes,26.98,0,183.36
ACCT396539,CUST53674411,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,Yes,Q3,Male,71,No,0,No,0,NA,20.83,Fiber Optic,19,No,No,No,0,120,729.05
ACCT240612,CUST22108588,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,759.35,No,Q3,Male,42,Yes,1,Yes,8,NA,47.33,NA,0,No,No,No,0,0,1656.55
ACCT236221,CUST68319087,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,55.1,1253.15,No,Q3,Male,62,No,0,No,0,NA,37.11,DSL,15,Yes,No,Yes,0,0,816.42
ACCT674161,CUST39313544,No,15,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,58.95,955.15,No,Q3,Female,57,No,0,No,0,NA,30.54,DSL,11,Yes,No,Yes,0,0,458.1
ACCT200718,CUST57723397,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2162.6,No,Q3,Male,39,No,0,No,0,NA,11.15,Fiber Optic,17,No,Yes,Yes,0,0,245.3
ACCT311010,CUST86668981,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.7,44.7,Yes,Q3,Male,21,Yes,0,Yes,1,NA,32.08,DSL,73,No,Yes,Yes,0,0,32.08
ACCT878245,CUST39170797,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.1,2723.75,No,Q3,Female,45,Yes,3,Yes,7,NA,26.66,Fiber Optic,57,No,No,No,0,130,853.12
ACCT115832,CUST84237766,No,7,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.8,220.45,No,Q3,Male,80,Yes,0,Yes,10,Offer E,0,DSL,13,No,No,Yes,11.83,0,0
ACCT758944,CUST54104593,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.5,365.8,No,Q3,Male,41,No,0,No,0,NA,42.66,NA,0,No,No,No,0,0,725.22
ACCT478187,CUST44104896,No,8,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.9,551.95,No,Q3,Male,76,Yes,0,Yes,9,Offer E,22.4,DSL,23,No,No,Yes,16.58,0,179.2
ACCT864151,CUST44383988,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,Yes,Q3,Male,36,No,0,No,0,NA,10.41,DSL,17,No,No,Yes,0,0,10.41
ACCT518303,CUST46840006,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,Yes,Q3,Male,66,No,0,No,0,NA,11.57,Fiber Optic,27,Yes,Yes,Yes,0,0,92.56
ACCT283164,CUST81784613,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,60.65,No,Q3,Male,50,No,3,No,0,NA,19.58,NA,0,No,No,No,0,0,58.74
ACCT651348,CUST42129764,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),77.35,5550.1,No,Q3,Female,48,No,0,No,0,Offer A,18.2,DSL,28,Yes,No,Yes,0,0,1292.2
ACCT801705,CUST30370539,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.55,90.55,Yes,Q3,Female,30,No,0,No,0,Offer E,15.44,Fiber Optic,51,No,Yes,No,0,60,15.44
ACCT334433,CUST52994014,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,No,Q3,Male,30,Yes,0,Yes,1,Offer B,47.17,Fiber Optic,26,No,No,No,0,30,2311.33
ACCT444635,CUST47083455,No,58,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),70.1,4048.95,No,Q3,Male,26,No,0,No,0,Offer B,47.47,DSL,69,Yes,No,Yes,0,0,2753.26
ACCT572814,CUST58253805,No,44,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.35,1359.7,Yes,Q3,Male,73,Yes,0,Yes,2,NA,0,Cable,28,No,No,Yes,0,0,0
ACCT152895,CUST79349426,Yes,59,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),75.95,4542.35,No,Q3,Female,40,Yes,0,Yes,4,Offer B,8.28,DSL,22,Yes,Yes,Yes,0,0,488.52
ACCT551821,CUST53192096,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.05,7532.15,Yes,Q3,Male,30,No,0,No,0,Offer A,49.42,Fiber Optic,53,Yes,Yes,Yes,0,0,3508.82
ACCT121934,CUST85482504,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,Q3,Male,51,No,0,No,0,Offer E,45.66,Fiber Optic,28,No,No,Yes,0,0,45.66
ACCT864365,CUST54110256,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,888.65,No,Q3,Female,34,No,0,No,0,Offer D,33.79,Fiber Optic,23,No,No,Yes,0,0,371.69
ACCT239217,CUST99219133,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35,Yes,Q3,Male,77,Yes,0,Yes,1,NA,7.11,Fiber Optic,16,No,Yes,Yes,0,0,440.82
ACCT440976,CUST37730579,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.5,413,No,Q3,Female,23,No,0,No,0,Offer D,10.97,NA,0,No,No,No,0,0,219.4
ACCT453045,CUST65153931,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,808.95,No,Q3,Male,21,Yes,1,Yes,9,Offer B,22.96,NA,0,No,No,No,0,0,918.4
ACCT939741,CUST84837923,No,39,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,47.85,1886.4,No,Q3,Female,22,No,0,No,0,NA,25.33,DSL,82,No,No,No,0,70,987.87
ACCT662788,CUST64309038,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.6,86.6,Yes,Q3,Male,41,No,0,No,0,Offer E,5.43,Fiber Optic,18,No,Yes,Yes,0,0,5.43
ACCT783941,CUST99861454,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.75,1679.25,No,Q3,Female,62,Yes,1,Yes,7,Offer A,21.14,NA,0,No,No,No,0,0,1522.08
ACCT273454,CUST31608827,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,Yes,Q3,Female,76,Yes,0,Yes,1,NA,33.19,Cable,15,No,No,Yes,0,0,1095.27
ACCT115525,CUST14733052,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),43.8,540.95,No,Q3,Female,54,No,0,No,0,Offer D,6.56,DSL,17,No,No,Yes,0,0,78.72
ACCT128411,CUST49017672,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.75,19.75,No,Q3,Male,48,No,0,No,0,Offer E,5.32,NA,0,No,No,No,0,0,5.32
ACCT247916,CUST48026090,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.15,537.35,No,Q3,Male,20,No,2,No,0,NA,30.36,NA,0,No,No,No,0,0,819.72
ACCT648306,CUST62815945,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.6,678.8,No,Q3,Male,53,Yes,0,Yes,7,NA,26.03,NA,0,No,No,No,0,0,885.02
